model_a,model_b,macro_f1_a,macro_f1_b,macro_f1_delta,micro_f1_a,micro_f1_b,micro_f1_delta,sig_rules_fdr_q_lt_0_05,min_fdr_q
MiniMax-M2.1,deepseek-v3.2-thinking,0.961,0.982,-0.022,0.958,0.983,-0.025,H4,0.003
MiniMax-M2.1,deterministic-baseline,0.961,0.813,0.148,0.958,0.893,0.065,"H2,H5",0.000
MiniMax-M2.1,gemini-3-pro-preview-thinking,0.961,0.984,-0.023,0.958,0.982,-0.024,"H5,H6",0.002
MiniMax-M2.1,gpt-5.2,0.961,0.871,0.090,0.958,0.771,0.187,H6,0.000
MiniMax-M2.1,gpt-oss-120b,0.961,0.975,-0.014,0.958,0.970,-0.012,H5,0.005
MiniMax-M2.1,gpt-oss-20b,0.961,0.973,-0.012,0.958,0.968,-0.010,H5,0.005
MiniMax-M2.1,kimi-k2-thinking,0.961,0.983,-0.022,0.958,0.983,-0.025,"H4,H5,H6",0.010
MiniMax-M2.1,qwen3-235b-a22b-thinking-2507,0.961,0.983,-0.022,0.958,0.980,-0.022,"H5,H6",0.010
MiniMax-M2.1,qwen3-30b-a3b-thinking-2507,0.961,0.969,-0.008,0.958,0.967,-0.009,"H4,H5",0.005
MiniMax-M2.1,qwen3-next-80b-a3b-thinking,0.961,0.970,-0.010,0.958,0.967,-0.009,H5,0.006
deepseek-v3.2-thinking,deterministic-baseline,0.982,0.813,0.170,0.983,0.893,0.090,"H2,H6",0.000
deepseek-v3.2-thinking,gemini-3-pro-preview-thinking,0.982,0.984,-0.002,0.983,0.982,0.001,,0.078
deepseek-v3.2-thinking,gpt-5.2,0.982,0.871,0.112,0.983,0.771,0.212,"H2,H4,H6",0.000
deepseek-v3.2-thinking,gpt-oss-120b,0.982,0.975,0.008,0.983,0.970,0.013,H4,0.000
deepseek-v3.2-thinking,gpt-oss-20b,0.982,0.973,0.010,0.983,0.968,0.015,H4,0.000
deepseek-v3.2-thinking,kimi-k2-thinking,0.982,0.983,-0.000,0.983,0.983,0.000,,1.000
deepseek-v3.2-thinking,qwen3-235b-a22b-thinking-2507,0.982,0.983,-0.000,0.983,0.980,0.003,H4,0.020
deepseek-v3.2-thinking,qwen3-30b-a3b-thinking-2507,0.982,0.969,0.013,0.983,0.967,0.016,H6,0.003
deepseek-v3.2-thinking,qwen3-next-80b-a3b-thinking,0.982,0.970,0.012,0.983,0.967,0.016,"H4,H6",0.001
deterministic-baseline,gemini-3-pro-preview-thinking,0.813,0.984,-0.171,0.893,0.982,-0.089,"H2,H6",0.000
deterministic-baseline,gpt-5.2,0.813,0.871,-0.058,0.893,0.771,0.122,"H2,H5,H6",0.000
deterministic-baseline,gpt-oss-120b,0.813,0.975,-0.162,0.893,0.970,-0.077,H2,0.000
deterministic-baseline,gpt-oss-20b,0.813,0.973,-0.160,0.893,0.968,-0.075,H2,0.000
deterministic-baseline,kimi-k2-thinking,0.813,0.983,-0.170,0.893,0.983,-0.090,"H2,H6",0.000
deterministic-baseline,qwen3-235b-a22b-thinking-2507,0.813,0.983,-0.170,0.893,0.980,-0.087,"H2,H6",0.000
deterministic-baseline,qwen3-30b-a3b-thinking-2507,0.813,0.969,-0.157,0.893,0.967,-0.074,H2,0.000
deterministic-baseline,qwen3-next-80b-a3b-thinking,0.813,0.970,-0.158,0.893,0.967,-0.074,H2,0.000
gemini-3-pro-preview-thinking,gpt-5.2,0.984,0.871,0.113,0.982,0.771,0.211,"H5,H6",0.000
gemini-3-pro-preview-thinking,gpt-oss-120b,0.984,0.975,0.009,0.982,0.970,0.012,H6,0.031
gemini-3-pro-preview-thinking,gpt-oss-20b,0.984,0.973,0.012,0.982,0.968,0.014,"H4,H6",0.047
gemini-3-pro-preview-thinking,kimi-k2-thinking,0.984,0.983,0.001,0.982,0.983,-0.001,,0.417
gemini-3-pro-preview-thinking,qwen3-235b-a22b-thinking-2507,0.984,0.983,0.002,0.982,0.980,0.002,,1.000
gemini-3-pro-preview-thinking,qwen3-30b-a3b-thinking-2507,0.984,0.969,0.015,0.982,0.967,0.015,H6,0.000
gemini-3-pro-preview-thinking,qwen3-next-80b-a3b-thinking,0.984,0.970,0.014,0.982,0.967,0.015,H6,0.000
gpt-5.2,gpt-oss-120b,0.871,0.975,-0.104,0.771,0.970,-0.199,"H5,H6",0.000
gpt-5.2,gpt-oss-20b,0.871,0.973,-0.102,0.771,0.968,-0.197,"H5,H6",0.000
gpt-5.2,kimi-k2-thinking,0.871,0.983,-0.112,0.771,0.983,-0.212,"H4,H6",0.000
gpt-5.2,qwen3-235b-a22b-thinking-2507,0.871,0.983,-0.112,0.771,0.980,-0.209,"H2,H6",0.000
gpt-5.2,qwen3-30b-a3b-thinking-2507,0.871,0.969,-0.099,0.771,0.967,-0.196,"H2,H4,H5,H6",0.000
gpt-5.2,qwen3-next-80b-a3b-thinking,0.871,0.970,-0.100,0.771,0.967,-0.196,"H2,H5,H6",0.000
gpt-oss-120b,gpt-oss-20b,0.975,0.973,0.002,0.970,0.968,0.002,,1.000
gpt-oss-120b,kimi-k2-thinking,0.975,0.983,-0.008,0.970,0.983,-0.013,H4,0.008
gpt-oss-120b,qwen3-235b-a22b-thinking-2507,0.975,0.983,-0.008,0.970,0.980,-0.010,,0.107
gpt-oss-120b,qwen3-30b-a3b-thinking-2507,0.975,0.969,0.005,0.970,0.967,0.003,"H4,H6",0.018
gpt-oss-120b,qwen3-next-80b-a3b-thinking,0.975,0.970,0.004,0.970,0.967,0.003,H6,0.004
gpt-oss-20b,kimi-k2-thinking,0.973,0.983,-0.010,0.968,0.983,-0.015,H4,0.001
gpt-oss-20b,qwen3-235b-a22b-thinking-2507,0.973,0.983,-0.010,0.968,0.980,-0.012,,0.112
gpt-oss-20b,qwen3-30b-a3b-thinking-2507,0.973,0.969,0.003,0.968,0.967,0.001,"H4,H6",0.016
gpt-oss-20b,qwen3-next-80b-a3b-thinking,0.973,0.970,0.002,0.968,0.967,0.001,,0.081
kimi-k2-thinking,qwen3-235b-a22b-thinking-2507,0.983,0.983,0.000,0.983,0.980,0.003,,0.327
kimi-k2-thinking,qwen3-30b-a3b-thinking-2507,0.983,0.969,0.014,0.983,0.967,0.016,H6,0.000
kimi-k2-thinking,qwen3-next-80b-a3b-thinking,0.983,0.970,0.012,0.983,0.967,0.016,H6,0.000
